FECHA;StateHoliday;REAL CALLS
27/07/2020;0.0;2820.0
28/07/2020;0.0;2641.0
29/07/2020;0.0;2434.0
30/07/2020;0.0;2293.0
31/07/2020;0.0;1959.0
1/08/2020;0.0;287.0
2/08/2020;0.0;43.0
3/08/2020;0.0;3124.0
4/08/2020;0.0;2584.0
5/08/2020;0.0;2498.0
6/08/2020;0.0;2334.0
7/08/2020;0.0;2017.0
8/08/2020;0.0;258.0
9/08/2020;0.0;54.0
10/08/2020;0.0;3048.0
11/08/2020;0.0;2590.0
12/08/2020;0.0;2526.0
13/08/2020;0.0;2300.0
14/08/2020;0.0;2110.0
15/08/2020;0.0;287.0
16/08/2020;0.0;41.0
17/08/2020;0.0;2822.0
18/08/2020;0.0;2455.0
19/08/2020;0.0;2409.0
20/08/2020;0.0;2239.0
21/08/2020;0.0;2009.0
22/08/2020;0.0;228.0
23/08/2020;0.0;37.0
24/08/2020;0.0;2895.0
25/08/2020;0.0;2568.0
26/08/2020;0.0;2441.0
27/08/2020;0.0;2292.0
28/08/2020;0.0;2118.0
29/08/2020;0.0;263.0
30/08/2020;0.0;36.0
31/08/2020;0.0;2896.0
1/09/2020;0.0;2780.0
2/09/2020;0.0;2479.0
3/09/2020;0.0;2412.0
4/09/2020;0.0;2038.0
5/09/2020;0.0;264.0
6/09/2020;0.0;41.0
7/09/2020;1.0;453.0
8/09/2020;0.0;2955.0
9/09/2020;0.0;2614.0
10/09/2020;0.0;2441.0
11/09/2020;0.0;2272.0
12/09/2020;0.0;302.0
13/09/2020;0.0;41.0
14/09/2020;0.0;3010.0
15/09/2020;0.0;2604.0
16/09/2020;0.0;2622.0
17/09/2020;0.0;2432.0
18/09/2020;0.0;2194.0
19/09/2020;0.0;233.0
20/09/2020;0.0;41.0
21/09/2020;0.0;2875.0
22/09/2020;0.0;2774.0
23/09/2020;0.0;2709.0
24/09/2020;0.0;2427.0
25/09/2020;0.0;2176.0
26/09/2020;0.0;256.0
27/09/2020;0.0;50.0
28/09/2020;0.0;2933.0
29/09/2020;0.0;2905.0
30/09/2020;0.0;2421.0
1/10/2020;0.0;2626.0
2/10/2020;0.0;2219.0
3/10/2020;0.0;292.0
4/10/2020;0.0;45.0
5/10/2020;0.0;3341.0
6/10/2020;0.0;2998.0
7/10/2020;0.0;3022.0
8/10/2020;0.0;2660.0
9/10/2020;0.0;2349.0
10/10/2020;0.0;306.0
11/10/2020;0.0;48.0
12/10/2020;0.0;3275.0
13/10/2020;0.0;2991.0
14/10/2020;0.0;3116.0
15/10/2020;0.0;2844.0
16/10/2020;0.0;2581.0
17/10/2020;0.0;258.0
18/10/2020;0.0;46.0
19/10/2020;0.0;3520.0
20/10/2020;0.0;3357.0
21/10/2020;0.0;3174.0
22/10/2020;0.0;2635.0
23/10/2020;0.0;2194.0
24/10/2020;0.0;329.0
25/10/2020;0.0;36.0
26/10/2020;0.0;3144.0
27/10/2020;0.0;2712.0
28/10/2020;0.0;2567.0
29/10/2020;0.0;2557.0
30/10/2020;0.0;2192.0
31/10/2020;0.0;251.0
1/11/2020;0.0;33.0
2/11/2020;0.0;3298.0
3/11/2020;0.0;2592.0
4/11/2020;0.0;2521.0
5/11/2020;0.0;2549.0
6/11/2020;0.0;2426.0
7/11/2020;0.0;322.0
8/11/2020;0.0;106.0
9/11/2020;0.0;2873.0
10/11/2020;0.0;2825.0
11/11/2020;1.0;2800.0
12/11/2020;0.0;2567.0
13/11/2020;0.0;2295.0
14/11/2020;0.0;306.0
15/11/2020;0.0;116.0
16/11/2020;0.0;3022.0
17/11/2020;0.0;2819.0
18/11/2020;0.0;2722.0
19/11/2020;0.0;2557.0
20/11/2020;0.0;2223.0
21/11/2020;0.0;279.0
22/11/2020;0.0;107.0
23/11/2020;0.0;2726.0
24/11/2020;0.0;2376.0
25/11/2020;0.0;1951.0
26/11/2020;1.0;174.0
27/11/2020;2.0;1062.0
28/11/2020;0.0;245.0
29/11/2020;0.0;81.0
30/11/2020;0.0;3071.0
1/12/2020;0.0;2648.0
2/12/2020;0.0;2597.0
3/12/2020;0.0;2540.0
4/12/2020;0.0;2273.0
5/12/2020;0.0;328.0
6/12/2020;0.0;101.0
7/12/2020;0.0;3039.0
8/12/2020;0.0;2647.0
9/12/2020;0.0;2503.0
10/12/2020;0.0;2398.0
11/12/2020;0.0;2191.0
12/12/2020;0.0;348.0
13/12/2020;0.0;120.0
14/12/2020;0.0;2985.0
15/12/2020;0.0;2626.0
16/12/2020;0.0;2556.0
17/12/2020;0.0;2230.0
18/12/2020;0.0;2002.0
19/12/2020;0.0;264.0
20/12/2020;0.0;96.0
21/12/2020;0.0;2530.0
22/12/2020;0.0;2169.0
23/12/2020;0.0;1825.0
24/12/2020;0.0;828.0
25/12/2020;1.0;68.0
26/12/2020;0.0;266.0
27/12/2020;0.0;127.0
28/12/2020;0.0;2607.0
29/12/2020;0.0;2124.0
30/12/2020;0.0;1992.0
31/12/2020;0.0;1168.0
1/01/2021;1.0;237.0
2/01/2021;0.0;378.0
3/01/2021;0.0;151.0
4/01/2021;0.0;4001.0
5/01/2021;0.0;3471.0
6/01/2021;0.0;3193.0
7/01/2021;0.0;3001.0
8/01/2021;0.0;2856.0
9/01/2021;0.0;395.0
10/01/2021;0.0;131.0
11/01/2021;0.0;3874.0
12/01/2021;0.0;3490.0
13/01/2021;0.0;3014.0
14/01/2021;0.0;2873.0
15/01/2021;0.0;2509.0
16/01/2021;0.0;351.0
17/01/2021;0.0;127.0
18/01/2021;1.0;2875.0
19/01/2021;0.0;3370.0
20/01/2021;0.0;2914.0
21/01/2021;0.0;3022.0
22/01/2021;0.0;2573.0
23/01/2021;0.0;354.0
24/01/2021;0.0;113.0
25/01/2021;0.0;3722.0
26/01/2021;0.0;3218.0
27/01/2021;0.0;3224.0
28/01/2021;0.0;2904.0
29/01/2021;0.0;2538.0
30/01/2021;0.0;370.0
31/01/2021;0.0;125.0
1/02/2021;0.0;3684.0
2/02/2021;0.0;3139.0
3/02/2021;0.0;3093.0
4/02/2021;0.0;2954.0
5/02/2021;0.0;2765.0
6/02/2021;0.0;349.0
7/02/2021;0.0;117.0
8/02/2021;0.0;3577.0
9/02/2021;0.0;3550.0
10/02/2021;0.0;3034.0
11/02/2021;0.0;2793.0
12/02/2021;0.0;2516.0
13/02/2021;0.0;296.0
14/02/2021;0.0;106.0
15/02/2021;0.0;3172.0
16/02/2021;0.0;3153.0
17/02/2021;0.0;3227.0
18/02/2021;0.0;3086.0
19/02/2021;0.0;2539.0
20/02/2021;0.0;257.0
21/02/2021;0.0;81.0
22/02/2021;0.0;3505.0
23/02/2021;0.0;3103.0
24/02/2021;0.0;3055.0
25/02/2021;0.0;2910.0
26/02/2021;0.0;2596.0
27/02/2021;0.0;356.0
28/02/2021;0.0;114.0
1/03/2021;0.0;3797.0
2/03/2021;0.0;3419.0
3/03/2021;0.0;3259.0
4/03/2021;0.0;3130.0
5/03/2021;0.0;2889.0
6/03/2021;0.0;391.0
7/03/2021;0.0;144.0
8/03/2021;0.0;3959.0
9/03/2021;0.0;3481.0
10/03/2021;0.0;3942.0
11/03/2021;0.0;3818.0
12/03/2021;0.0;3661.0
13/03/2021;0.0;444.0
14/03/2021;0.0;148.0
15/03/2021;0.0;4070.0
16/03/2021;0.0;2652.0
17/03/2021;0.0;3991.0
18/03/2021;0.0;3595.0
19/03/2021;0.0;3233.0
20/03/2021;0.0;408.0
21/03/2021;0.0;155.0
22/03/2021;0.0;4441.0
23/03/2021;0.0;3720.0
24/03/2021;0.0;3950.0
25/03/2021;0.0;3462.0
26/03/2021;0.0;2935.0
27/03/2021;0.0;418.0
28/03/2021;0.0;117.0
29/03/2021;0.0;4351.0
30/03/2021;0.0;4506.0
31/03/2021;0.0;3687.0
1/04/2021;0.0;3244.0
2/04/2021;0.0;2278.0
3/04/2021;0.0;370.0
4/04/2021;0.0;88.0
5/04/2021;0.0;4494.0
6/04/2021;0.0;4043.0
7/04/2021;0.0;3730.0
8/04/2021;0.0;3769.0
9/04/2021;0.0;3204.0
10/04/2021;0.0;352.0
11/04/2021;0.0;94.0
12/04/2021;0.0;3893.0
13/04/2021;0.0;3752.0
14/04/2021;0.0;3421.0
15/04/2021;0.0;3025.0
16/04/2021;0.0;2749.0
17/04/2021;0.0;340.0
18/04/2021;0.0;99.0
19/04/2021;0.0;3588.0
20/04/2021;0.0;3258.0
21/04/2021;0.0;2948.0
22/04/2021;0.0;2788.0
23/04/2021;0.0;2532.0
24/04/2021;0.0;317.0
25/04/2021;0.0;61.0
26/04/2021;0.0;3331.0
27/04/2021;0.0;3141.0
28/04/2021;0.0;2941.0
29/04/2021;0.0;2831.0
30/04/2021;0.0;2425.0
1/05/2021;0.0;301.0
2/05/2021;0.0;93.0
3/05/2021;0.0;3709.0
4/05/2021;0.0;3265.0
5/05/2021;0.0;3167.0
6/05/2021;0.0;2900.0
7/05/2021;0.0;2601.0
8/05/2021;0.0;287.0
9/05/2021;0.0;83.0
10/05/2021;0.0;3573.0
11/05/2021;0.0;3218.0
12/05/2021;0.0;3259.0
13/05/2021;0.0;2955.0
14/05/2021;0.0;2710.0
15/05/2021;0.0;320.0
16/05/2021;0.0;95.0
17/05/2021;0.0;3582.0
18/05/2021;0.0;3324.0
19/05/2021;0.0;3138.0
20/05/2021;0.0;2823.0
21/05/2021;0.0;2493.0
22/05/2021;0.0;320.0
23/05/2021;0.0;96.0
24/05/2021;0.0;3550.0
25/05/2021;0.0;3343.0
26/05/2021;0.0;2879.0
27/05/2021;0.0;2790.0
28/05/2021;0.0;2297.0
29/05/2021;0.0;266.0
30/05/2021;0.0;82.0
31/05/2021;1.0;511.0
1/06/2021;0.0;3637.0
2/06/2021;0.0;3433.0
3/06/2021;0.0;2941.0
4/06/2021;0.0;2513.0
5/06/2021;0.0;325.0
6/06/2021;0.0;119.0
7/06/2021;0.0;3751.0
8/06/2021;0.0;3195.0
9/06/2021;0.0;2962.0
